Participant ID,Game ID,Round 1,Round 2,Round 3,Disorder,Website Choice
97,0,Gum abnormalities. Sleep disturbance. Nausea and vomiting. Malabsorption,Joint hyperflexibility. Fatigue. Tingling/pins and needles. Constipation,Inguinal hernia. Joint pain. Stretchy skin. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
97,1,Anemia. Corneal opacity. Arthritis. Congestive heart failure. Blurred vision. Depressivity,Abdominal pain. Lack of sweating. Picture: Subcutaneous nodule (skin lesion). Muscle pain. Fever. Anorexia,Nephrotic syndrome. Malabsorption. Glomerulopathy (diseased blood vessels in the kidneys). Renal insufficiency. Abnormality of femur morphology. Corneal dystrophy,Fabry disease,2. Malady Help
97,2,Feeding difficulties in infancy. Misalignment of the eyes. Abdominal pain. Blood in urine. Bone pain. Developmental regression,Joint stiffness. Joint pain. Susceptable to bleeding. Low blood cell count. Abnormal heart valve morphology,Abnormality of the skeletal system. Osteolysis: Breakdown of bone. Calcium deposits in the aortic valve. Generalized myoclonic seizures. Osteopenia: Decreased bone density,Gaucher disease,3. Google Custom
98,0,Prominent eye folds. Gum abnormalities. Joint pain. Arrhythmia. Muscle pain. Nausea and vomiting,Fatigue. Persistent blue hands/feet. Stretchy skin. Vertigo. Frequent joint dislocation. Thin skin,Umbilical hernia. Menstrual abnormalities (frequency heaviness irregularity). Dry eyes. Migraine. Joint hyperflexibility. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
98,1,Picture: Subcutaneous nodule (skin lesion). Hearing impairment. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Anemia,Abdominal pain. Thickened skin. Nausea and vomiting. Behavioral abnormality,Abnormal aortic valve morphology. Nephrotic syndrome. Emphysema. Glomerulopathy (diseased blood vessels in the kidneys),Fabry disease,1. Collaborative Filtering
98,2,Misalignment of the eyes. Delayed skeletal maturation. Joint pain. Susceptable to bleeding. Fatigue,Osteoarthritis. Anemia. Decreased muscle tone. Bilateral tonic-clonic seizure,Osteolysis: Breakdown of bone. Increased bone mineral density. Generalized myoclonic seizures. Enlarged liver,Gaucher disease,2. Malady Help
99,0,Foot deformity. Sleep disturbance. Drooping upper eyelid. Joint hyperflexibility. Inflamed gums,Migraine. Scoliosis. Osteoarthritis. Thin skin. Stretchy skin,Fatigue. Nausea and vomiting. Depressivity. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
99,1,Congestive heart failure. Lack of sweating. Muscle pain. Abdominal pain. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system,Behavioral abnormality. Corneal opacity. Arthritis. Extreme thirst. Kidney damage/Kidney disease,Renal insufficiency. Abnormal aortic valve morphology. Hypertrophic cardiomyopathy. Left ventricular hypertrophy,Fabry disease,3. Google Custom
99,2,Delayed skeletal maturation. Misalignment of the eyes. Joint pain. Depressivity. Joint dislocation. Difficulty with horizontal voluntary eye movements,Bone pain. Fatigue. Abnormality of the skeletal system. Cranial nerve paralysis. Low platelet count. Increased antibody level in blood,Calcium deposits in the aortic valve. Bilateral tonic-clonic seizure. Bone death due to lack of blood supply. Bone infection. Hydrocephalus (too much cerebrospinal fluid in the brain),Gaucher disease,1. Collaborative Filtering
100,0,Foot deformity. Sleep disturbance. Persistent blue hands/feet. Joint pain. Vertigo,Umbilical hernia. Fatigue. Scoliosis. Frequent joint dislocation. Nausea and vomiting,Stretchy skin. Migraine. Inflamed gums. Gastrointestinal dysmotility,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
100,1,Blurred vision. Joint pain. Abdominal pain. Muscle pain. Picture: Subcutaneous nodule (skin lesion). Depressivity,Breathing difficulties. Anemia. Corneal opacity. Blood in urine. Anorexia,Abnormal renal tubule morphology. High urine protein levels. Achalasia. Malabsorption. Cataract,Fabry disease,1. Collaborative Filtering
100,2,Feeding difficulties in infancy. Misalignment of the eyes. Bleeding gums. Fever. Joint stiffness,Fatigue. Depressivity. Abdominal pain. Blood in urine. Bilateral tonic-clonic seizure,High urine protein levels. Enlarged liver. Bone death due to lack of blood supply. Englarged spleen,Gaucher disease,2. Malady Help
101,0,Sleep disturbance. Prominent eye folds. Joint hyperflexibility. Frequent joint dislocation. Fatigue,Scoliosis. Inflamed gums. Thin skin. Vertigo. Constipation,Persistent blue hands/feet. Inguinal hernia. Malabsorption. Gastrointestinal dysmotility,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
101,1,Persistent swelling in arm/leg. Blood in urine. Behavioral abnormality. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Arthritis,Mini-stroke. Nausea and vomiting. Chest pain. Joint pain. Picture: Conjunctival telangiectasia,Corneal dystrophy. Renal insufficiency. Nephrotic syndrome. Reduced bone mineral density,Fabry disease,3. Google Custom
101,2,Delayed skeletal maturation. Feeding difficulties in infancy. Hearing impairment. Fatigue. Bone pain,Recurrent fractures. Anemia. Limited eye movements. Joint dislocation. Calcium deposits in the mitral valve,Increased bone mineral density. Enlarged liver. Generalized myoclonic seizures. Osteopenia: Decreased bone density,Gaucher disease,1. Collaborative Filtering
102,0,Drooping upper eyelid. Foot deformity. Fatigue. Picture: Subcutaneous nodule (skin lesion),Umbilical hernia. Muscle pain. Stretchy skin. Frequent joint dislocation,Persistent blue hands/feet. Osteoarthritis. Limitation of joint mobility. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
102,1,Anemia. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Chest pain. Joint pain. Abdominal pain. Nausea and vomiting,Thickened skin. Picture: Subcutaneous nodule (skin lesion). Corneal opacity. Hearing impairment. Fatigue. Progressive airflow obstruction,Muscle pain. Optic atrophy. Left ventricular hypertrophy. Cataract. Mitral regurgitation. Malabsorption,Fabry disease,2. Malady Help
102,2,Misalignment of the eyes. Delayed puberty. Anemia. Developmental regression. Joint dislocation. Tremor. Abdominal pain,Bone pain. Difficulty with horizontal voluntary eye movements. Involuntary movements. Recurrent fractures. Abnormality of the skeletal system. Bilateral tonic-clonic seizure,Generalized myoclonic seizures. Low platelet count. Englarged spleen. Bone death due to lack of blood supply. Enlarged liver. Ataxia,Gaucher disease,3. Google Custom
103,0,Foot deformity. Drooping upper eyelid. Joint hyperflexibility. Scoliosis. Constipation,Fatigue. Dry eyes. Arrhythmia. Genital hernia,Osteoarthritis. Acid reflux. Picture: Subcutaneous nodule (skin lesion). Poorly functioning veins,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
103,1,Picture: thick lower lip. Picture: Angiokeratoma (small raised dark-red spot). Abdominal pain. Anorexia. Anemia. Hearing impairment. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system,Thickened skin. Muscle pain. Picture: Conjunctival telangiectasia. Progressive airflow obstruction. Developmental regression. Picture: Subcutaneous nodule (skin lesion),High blood pressure. Bundle branch block. Elevated or lowered cholesteral. Nephrotic syndrome. Cataract. Mitral regurgitation,Fabry disease,2. Malady Help
103,2,Misalignment of the eyes. Abnormal bone structure. Osteoarthritis. Fatigue. Paralysis or weakness of one side of the body. Abdominal pain. Difficulty swallowing,Recurrent fractures. Joint pain. Breathing difficulties. Calcium deposits in the aortic valve. Abnormality of the skeletal system. Increased antibody level in blood,High urine protein levels. Enlarged ventricular system of the brain. Ataxia. Low blood cell count. Low platelet count. Generalized myoclonic seizures,Gaucher disease,1. Collaborative Filtering
104,0,Sleep disturbance. Flat feet. Acid reflux. Muscle pain. Fatigue,Constipation. Depressivity. Stretchy skin. Osteoarthritis. Decreased fertility,Thin skin. Breathing stops (episodes). Scoliosis. Decreased nerve conduction velocity. Absent/small abdominal wall muscles,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
104,1,Picture: Subcutaneous nodule (skin lesion). Hearing impairment. Congestive heart failure. Chest pain. Spider veins,Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Joint pain. Fatigue. Thickened skin. Abnormal renal tubule morphology,Nephrotic syndrome. Corneal dystrophy. Renal insufficiency. Kidney damage/Kidney disease,Fabry disease,3. Google Custom
104,2,Arthrogryposis multiplex congenita (bent joints that cannot be straightened). Feeding difficulties in infancy. Joint pain. Recurrent fractures. Anemia,Depressivity. Changes in coordination and speed of movements. Abdominal pain. Difficulty swallowing. Increased antibody level in blood,Increased bone mineral density. Interstitial pulmonary abnormality. Bone death due to lack of blood supply. Bilateral tonic-clonic seizure. Enlarged ventricular system of the brain,Gaucher disease,1. Collaborative Filtering
105,0,Flat feet. Sleep disturbance. Abnormality of the wrist. Joint pain. Persistent blue hands/feet. Migraine. Inflamed gums,Muscle pain. Constipation. Osteoarthritis. Fatigue. Thin skin. Stretchy skin,Joint hyperflexibility. Breathing stops (episodes). Depressivity. Vertigo. Widening of main artery. Separation of layers of an artery,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
105,1,Delayed puberty. Lack of sweating. Hearing impairment. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Depressivity,Mini-stroke. Corneal opacity. Picture: Conjunctival telangiectasia. Spider veins,Bundle branch block. Nephrotic syndrome. Diabetes insipidus. Sensorineural hearing impairment,Fabry disease,1. Collaborative Filtering
105,2,Feeding difficulties in infancy. Short stature. Joint dislocation. Blood in urine. Involuntary movements. Hearing impairment,Anemia. Bone pain. Abdominal pain. Joint pain. Pulmonary arterial hypertension: High blood pressure in lungs. Enlarged liver,Hepatitis. Low platelet count. Bone death due to lack of blood supply. Replacement of normal lung tissues by fibroblasts and collagen. Osteolysis: Breakdown of bone,Gaucher disease,3. Google Custom
106,0,Flat feet. Sleep disturbance. Frequent joint dislocation. Migraine,Malabsorption. Picture: Subcutaneous nodule (skin lesion). Muscle pain,Scoliosis. Breathing stops (episodes). Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
106,1,Behavioral abnormality. Lack of sweating. Corneal opacity. Picture: Angiokeratoma (small raised dark-red spot). Joint pain,Muscle pain. Abdominal pain. Mini-stroke. Picture: Subcutaneous nodule (skin lesion). Cataract,Emphysema. Malabsorption. Elevated or lowered cholesteral. Optic atrophy,Fabry disease,3. Google Custom
106,2,Delayed puberty. Abnormal bone structure. Developmental regression. Joint pain. Bone pain. Changes in coordination and speed of movements,Double vision. Fever. Osteoarthritis. Recurrent fractures. Bone infection. Calcium deposits in the aortic valve,Englarged spleen. Abnormality of the skeletal system. Enlarged liver. Abnormal macular morphology. Calcium deposits in the mitral valve,Gaucher disease,2. Malady Help
107,0,Drooping upper eyelid. Sleep disturbance. Abnormal palate (roof of the mouth). Arrhythmia. Joint pain. Frequent joint dislocation,Thin skin. Vertigo. Inflamed gums. Umbilical hernia. Stretchy skin. Fatigue,Depressivity. Persistent blue hands/feet. Decreased fertility. Migraine. Gastrointestinal dysmotility. Decreased nerve conduction velocity,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
107,1,Delayed puberty. Picture: Conjunctival telangiectasia. Cognitive impairment. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Increased urine output,Anorexia. Hearing impairment. Lack of sweating. Arthritis. Thickened skin,Abnormal renal tubule morphology. Bundle branch block. Emphysema. Optic atrophy. Diabetes insipidus,Fabry disease,1. Collaborative Filtering
107,2,Abnormal bone structure. Arthrogryposis multiplex congenita (bent joints that cannot be straightened). Fever. Limited eye movements. Changes in coordination and speed of movements. Osteoarthritis,Dry scales on the skin. Developmental regression. Susceptable to bleeding. Recurrent fractures. Low platelet count. Bone death due to lack of blood supply,Hydrocephalus (too much cerebrospinal fluid in the brain). Ataxia. Abnormal pericardium morphology. Enlarged liver. Bone infection. Low blood cell count,Gaucher disease,3. Google Custom
108,0,Sleep disturbance. Abnormal palate (roof of the mouth). Gum abnormalities. Persistent blue hands/feet. Thin skin. Vertigo,Nausea and vomiting. Joint pain. Constipation. Stretchy skin. Bladder hernia,Depressivity. Migraine. Menstrual abnormalities (frequency heaviness irregularity). Gastrointestinal dysmotility. Decreased nerve conduction velocity,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
108,1,Breathing difficulties. Anorexia. Lack of sweating. Arthritis,Fatigue. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Joint pain. Picture: Angiokeratoma (small raised dark-red spot),Abdominal pain. Elevated or lowered cholesteral. Corneal dystrophy. Kidney damage/Kidney disease,Fabry disease,1. Collaborative Filtering
108,2,Delayed skeletal maturation. Bleeding gums. Difficulty swallowing. Hearing impairment. Anemia,Paralysis or weakness of one side of the body. Fever. Depressivity. Ataxia,Elevated C-reactive protein level. Abnormal heart valve morphology. Englarged spleen. Low platelet count,Gaucher disease,2. Malady Help
109,0,Foot deformity. Sleep disturbance. Migraine. Arrhythmia. Inguinal hernia. Constipation,Bladder hernia. Persistent blue hands/feet. Osteoarthritis. Joint pain. Stretchy skin. Soft skin,Depressivity. Nausea and vomiting. Tendon rupture. Decreased nerve conduction velocity. Gastrointestinal dysmotility,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
109,1,Picture: coarse facial features. Joint pain. Hearing impairment. Behavioral abnormality. Anemia,Corneal opacity. Fatigue. Blood in urine. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Breathing difficulties,Malabsorption. Abnormal renal tubule morphology. Mitral regurgitation. Abnormal aortic valve morphology. Atrioventricular block,Fabry disease,3. Google Custom
109,2,Abnormal bone structure. Arthrogryposis multiplex congenita (bent joints that cannot be straightened). Anemia. Dry scales on the skin. Fatigue. Breathing difficulties,Tremor. Recurrent fractures. Decreased muscle tone. Developmental regression. Englarged spleen,Abnormal macular morphology. Low blood cell count. Low platelet count. Pulmonary arterial hypertension: High blood pressure in lungs. Osteopenia: Decreased bone density,Gaucher disease,1. Collaborative Filtering
110,0,Flat feet. Gum enlargement. Frequent joint dislocation. Thin skin,Umbilical hernia. Nausea and vomiting. Fatigue. Limitation of joint mobility,Stretchy skin. Dry eyes. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
110,1,Lack of sweating. Picture: Subcutaneous nodule (skin lesion). Thickened skin. Picture: Conjunctival telangiectasia. Hearing impairment,Congestive heart failure. Corneal opacity. Abdominal pain. Joint pain. Anorexia,Emphysema. Malabsorption. Optic atrophy. Corneal dystrophy. High urine protein levels,Fabry disease,3. Google Custom
110,2,Arthrogryposis multiplex congenita (bent joints that cannot be straightened). Feeding difficulties in infancy. Joint dislocation. Difficulty swallowing. Depressivity. Changes in coordination and speed of movements,Developmental regression. Recurrent fractures. Anemia. Englarged spleen. Osteopenia: Decreased bone density. Low platelet count,Bone death due to lack of blood supply. Hepatitis. Abnormal macular morphology. Enlarged liver. Osteolysis: Breakdown of bone. Generalized myoclonic seizures,Gaucher disease,2. Malady Help
111,0,Sleep disturbance. Flat feet. Muscle pain. Vertigo. Frequent joint dislocation,Bladder hernia. Joint hyperflexibility. Limitation of joint mobility. Joint pain. Thin skin,Genital hernia. Osteoarthritis. Fatigue. Gastrointestinal dysmotility,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
111,1,Anxiety. Behavioral abnormality. Thickened skin. Chest pain. Picture: Conjunctival telangiectasia,Picture: Subcutaneous nodule (skin lesion). Blood in urine. Picture: Angiokeratoma (small raised dark-red spot). Lack of sweating. Arrhythmia,Joint pain. Nephrotic syndrome. Cataract. Renal insufficiency. Atrioventricular block,Fabry disease,1. Collaborative Filtering
111,2,Short stature. Delayed skeletal maturation. Recurrent fractures. Susceptable to bleeding. Difficulty swallowing,Paralysis or weakness of one side of the body. Corneal opacity. Osteoarthritis. Englarged spleen,Scarring of liver caused by chronic liver disease. High urine protein levels. Enlarged liver. Osteopenia: Decreased bone density,Gaucher disease,3. Google Custom
112,0,Sleep disturbance. Flat feet. Malabsorption. Osteoarthritis. Vertigo,Frequent joint dislocation. Joint hyperflexibility. Arrhythmia. Tendon rupture. Thin skin,Stretchy skin. Breathing stops (episodes). Joint pain. Keratoconus,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
112,1,Delayed puberty. Spider veins. Mini-stroke. Fatigue. Hearing impairment. Picture: Subcutaneous nodule (skin lesion),Muscle pain. Anorexia. Congestive heart failure. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Thickened skin. Corneal dystrophy,Nephrotic syndrome. Renal insufficiency. Cataract. Bundle branch block. Emphysema,Fabry disease,3. Google Custom
112,2,Delayed skeletal maturation. Arthrogryposis multiplex congenita (bent joints that cannot be straightened). Bleeding gums. Fever,Bone pain. Difficulty swallowing. Abdominal pain. Abnormal macular morphology,Abnormality of the skeletal system. Bilateral tonic-clonic seizure. Interstitial pulmonary abnormality. Abnormal heart valve morphology,Gaucher disease,2. Malady Help
113,0,Foot deformity. Flat feet. Malabsorption. Migraine. Dry eyes,Genital hernia. Arrhythmia. Constipation. Persistent blue hands/feet. Stretchy skin,Thin skin. Vertigo. Joint hyperflexibility. Decreased nerve conduction velocity. Separation of layers of an artery,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
113,1,Delayed puberty. Picture: Conjunctival telangiectasia. Fatigue. Hearing impairment. Vertigo. Anorexia,Abdominal pain. Behavioral abnormality. Chest pain. Blood in urine. Congestive heart failure. Mini-stroke,Optic atrophy. Elevated or lowered cholesteral. Malabsorption. Glomerulopathy (diseased blood vessels in the kidneys). Corneal dystrophy,Fabry disease,2. Malady Help
113,2,Delayed skeletal maturation. Abnormal bone structure. Anemia. Developmental regression. Abnormal skin pigmentation,Joint dislocation. Depressivity. Tremor. Bone pain. Bilateral tonic-clonic seizure,Abnormality of the skeletal system. Bone death due to lack of blood supply. Ataxia. Low platelet count. Generalized myoclonic seizures,Gaucher disease,1. Collaborative Filtering
114,0,Flat feet. Prominent eye folds. Foot deformity. Nausea and vomiting. Malabsorption. Tendon rupture,Frequent joint dislocation. Osteoarthritis. Persistent blue hands/feet. Soft skin. Constipation. Unusual scars,Tingling/pins and needles. Fatigue. Stretchy skin. Depressivity. Extra bones in the cranium. Poorly functioning veins,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
114,1,Short stature. Picture: Angiokeratoma (small raised dark-red spot). Thickened skin. Breathing difficulties. Mini-stroke,Anorexia. Cognitive impairment. Increased urine output. Picture: Subcutaneous nodule (skin lesion). Abnormal renal tubule morphology,Nephrotic syndrome. Atrioventricular block. Mitral regurgitation. Optic atrophy. Corneal dystrophy,Fabry disease,2. Malady Help
114,2,Hydrops fetalis: prenatal swelling. Blood in urine. Anemia. Fatigue. Fever,Recurrent fractures. Dry scales on the skin. Osteopenia: Decreased bone density. Bone death due to lack of blood supply. Hepatitis,Abnormality of the skeletal system. Englarged spleen. Elevated C-reactive protein level. High urine protein levels,Gaucher disease,1. Collaborative Filtering
115,0,Sleep disturbance. Foot deformity. Fatigue. Migraine. Breathing stops (episodes),Nausea and vomiting. Tendon rupture. Tingling/pins and needles. Vertigo,Stretchy skin. Thin skin. Persistent blue hands/feet. Gastrointestinal dysmotility,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
115,1,Picture: coarse facial features. Blood in urine. Anxiety. Hearing impairment. Picture: Angiokeratoma (small raised dark-red spot). Arthritis,Corneal opacity. Cognitive impairment. Fatigue. Congestive heart failure. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Blurred vision,Malabsorption. Reduced bone mineral density. Abnormality of femur morphology. Renal insufficiency. Abnormal myocardium morphology,Fabry disease,2. Malady Help
115,2,Short stature. Delayed skeletal maturation. Abnormal skin pigmentation. Recurrent fractures. Anemia. Depressivity,Joint dislocation. Susceptable to bleeding. Paralysis or weakness of one side of the body. Bilateral tonic-clonic seizure. Scarring of liver caused by chronic liver disease. Replacement of normal lung tissues by fibroblasts and collagen,Bone infection. Englarged spleen. Cranial nerve paralysis. Interstitial pulmonary abnormality. Calcium deposits in the mitral valve,Gaucher disease,1. Collaborative Filtering
116,0,Dental abnormalities. Sleep disturbance. Unusual scars. Thin skin,Frequent joint dislocation. Breathing stops (episodes). Umbilical hernia. Limitation of joint mobility,Osteoarthritis. Migraine. Arrhythmia. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
116,1,Short stature. Picture: Subcutaneous nodule (skin lesion). Muscle pain. Fatigue. Picture: Angiokeratoma (small raised dark-red spot). Abdominal pain. Fever,Nausea and vomiting. Hearing impairment. Corneal opacity. Anorexia. Congestive heart failure. Blood in urine,Lack of sweating. Cognitive impairment. Malabsorption. Abnormality of the endocardium. Nephrotic syndrome. Atrioventricular block,Fabry disease,1. Collaborative Filtering
116,2,Feeding difficulties in infancy. Misalignment of the eyes. Difficulty swallowing. Abdominal pain. Changes in coordination and speed of movements,Dry scales on the skin. Osteoarthritis. Difficulty with horizontal voluntary eye movements. Fatigue. Osteopenia: Decreased bone density,Low platelet count. High urine protein levels. Increased antibody level in blood. Increased bone mineral density. Generalized myoclonic seizures,Gaucher disease,2. Malady Help
117,0,Sleep disturbance. Flat feet. Gum abnormalities. Soft skin. Joint hyperflexibility. Tendon rupture,Persistent blue hands/feet. Menstrual abnormalities (frequency heaviness irregularity). Depressivity. Stretchy skin. Limitation of joint mobility. Vertigo,Muscle pain. Frequent joint dislocation. Constipation. Gastrointestinal dysmotility. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
117,1,Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Fatigue. Spider veins. Corneal opacity,Blood in urine. Behavioral abnormality. Picture: Subcutaneous nodule (skin lesion). Vertigo,Elevated or lowered cholesteral. Renal insufficiency. Nephrotic syndrome. Bundle branch block,Fabry disease,1. Collaborative Filtering
117,2,Delayed skeletal maturation. Misalignment of the eyes. Bleeding gums. Depressivity. Abdominal pain. Osteoarthritis,Fever. Double vision. Anemia. Fatigue. Pulmonary arterial hypertension: High blood pressure in lungs. Cherry red spot of the macula,Enlarged liver. Abnormality of the skeletal system. Bone death due to lack of blood supply. Generalized myoclonic seizures. Bilateral tonic-clonic seizure. Englarged spleen,Gaucher disease,2. Malady Help
118,0,Prominent eye folds. Stretchy skin. Persistent blue hands/feet. Thin skin. Vertigo,Frequent joint dislocation. Fatigue. Picture: Subcutaneous nodule (skin lesion). Constipation,Genital hernia. Joint pain. Decreased nerve conduction velocity. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
118,1,Blood in urine. Behavioral abnormality. Arthritis. Spider veins. Congestive heart failure,Lack of sweating. Joint pain. Hearing impairment. Muscle pain. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system,Nephrotic syndrome. Reduced bone mineral density. Emphysema. Malabsorption,Fabry disease,3. Google Custom
118,2,Hydrops fetalis: prenatal swelling. Recurrent fractures. Involuntary movements. Difficulty swallowing. Fatigue,Bleeding gums. Changes in coordination and speed of movements. Scarring of liver caused by chronic liver disease. Osteopenia: Decreased bone density,Enlarged ventricular system of the brain. Osteolysis: Breakdown of bone. Interstitial pulmonary abnormality. Bone death due to lack of blood supply,Gaucher disease,1. Collaborative Filtering
119,0,Flat feet. Gum abnormalities. Prominent eye folds. Frequent joint dislocation. Joint pain. Soft skin,Joint hyperflexibility. Stretchy skin. Constipation. Osteoarthritis. Breathing stops (episodes),Bladder hernia. Nausea and vomiting. Picture: Subcutaneous nodule (skin lesion). Extra bones in the cranium. Keratoconus,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
119,1,Picture: Conjunctival telangiectasia. Nausea and vomiting. Muscle pain. Anemia,Cognitive impairment. Vision loss. Blood in urine. Mini-stroke,Kidney damage/Kidney disease. High urine protein levels. Atrioventricular block. Reduced bone mineral density,Fabry disease,2. Malady Help
119,2,Abnormal bone structure. Delayed skeletal maturation. Changes in coordination and speed of movements. Developmental regression. Abdominal pain. Fatigue,Dry scales on the skin. Joint dislocation. Joint stiffness. Enlarged liver. Abnormal heart valve morphology. Interstitial pulmonary abnormality,Ataxia. Osteopenia: Decreased bone density. Englarged spleen. Scarring of liver caused by chronic liver disease. Hydrocephalus (too much cerebrospinal fluid in the brain),Gaucher disease,1. Collaborative Filtering
120,0,Sleep disturbance. Gum abnormalities. Abnormal palate (roof of the mouth). Joint hyperflexibility. Muscle pain. Vertigo. Persistent blue hands/feet,Inflamed gums. Bladder hernia. Migraine. Dry eyes. Fatigue. Tingling/pins and needles,Menstrual abnormalities (frequency heaviness irregularity). Thin skin. Decreased fertility. Unusual scars. Decreased nerve conduction velocity. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
120,1,Picture: coarse facial features. Seizure. Picture: Conjunctival telangiectasia. Picture: Subcutaneous nodule (skin lesion). Progressive airflow obstruction. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Corneal opacity,Thickened skin. Fatigue. Anorexia. Persistent swelling in arm/leg. Breathing difficulties. Blood in urine,Emphysema. Corneal dystrophy. Cataract. Atrioventricular block. Optic atrophy. Abnormal renal tubule morphology,Fabry disease,3. Google Custom
120,2,Feeding difficulties in infancy. Delayed skeletal maturation. Changes in coordination and speed of movements. Joint pain. Abdominal pain. Depressivity. Recurrent fractures,Bleeding gums. Limited eye movements. Fatigue. Anemia. Abnormal macular morphology. Ataxia,Bone death due to lack of blood supply. Englarged spleen. Bone infection. High urine protein levels. Cranial nerve paralysis. Low platelet count,Gaucher disease,1. Collaborative Filtering
121,0,Foot deformity. Sleep disturbance. Constipation. Soft skin. Stretchy skin,Unusual scars. Frequent joint dislocation. Inguinal hernia. Nausea and vomiting. Persistent blue hands/feet,Migraine. Umbilical hernia. Tingling/pins and needles. Fatigue. Widening of main artery,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
121,1,Behavioral abnormality. Mini-stroke. Thickened skin. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Picture: Subcutaneous nodule (skin lesion),Picture: Conjunctival telangiectasia. Congestive heart failure. Cognitive impairment. Spider veins,Anorexia. High urine protein levels. Abnormality of the endocardium. Emphysema,Fabry disease,2. Malady Help
121,2,Delayed skeletal maturation. Breathing difficulties. Susceptable to bleeding. Recurrent fractures. Bone pain,Depressivity. Developmental regression. Anemia. Double vision. Retinopathy,Enlarged ventricular system of the brain. Osteopenia: Decreased bone density. Abnormal pericardium morphology. Bilateral tonic-clonic seizure. Englarged spleen,Gaucher disease,1. Collaborative Filtering
122,0,Abnormal palate (roof of the mouth). Gum abnormalities. Abnormal anus or rectum. Inguinal hernia. Decreased fertility,Limitation of joint mobility. Nausea and vomiting. Frequent joint dislocation. Joint pain,Persistent blue hands/feet. Depressivity. Arrhythmia. Decreased nerve conduction velocity,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
122,1,Picture: Subcutaneous nodule (skin lesion). Blood in urine. Thickened skin. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Hearing impairment,Cognitive impairment. Abdominal pain. Chest pain. Picture: Conjunctival telangiectasia,Diabetes insipidus. Malabsorption. Abnormality of femur morphology. High blood pressure,Fabry disease,3. Google Custom
122,2,Feeding difficulties in infancy. Short stature. Fatigue. Susceptable to bleeding. Difficulty swallowing,Bone pain. Dry scales on the skin. Developmental regression. Abdominal pain. Abnormality of the skeletal system,Abnormal macular morphology. Osteopenia: Decreased bone density. Bone infection. Osteolysis: Breakdown of bone. Ataxia,Gaucher disease,2. Malady Help
